FB Medizinische Lesehalle;57;43;2016-12-18 14:00:28.985376
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 14:00:28.985400
FB Theologie und Philosophie;36;64;2016-12-18 14:00:28.985427
FB Wirtschaftswissenschaften und Statistik;5;95;2016-12-18 14:00:28.985452
Allgemeiner Lesesaal (Zentralbibliothek);40;60;2016-12-18 14:15:21.916698
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 14:15:21.916801
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 14:15:21.916836
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 14:15:21.916866
FB Englischer Garten;11;89;2016-12-18 14:15:21.916891
FB Geowissenschaften;13;87;2016-12-18 14:15:21.916915
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 14:15:21.916938
FB Historicum;27;73;2016-12-18 14:15:21.916963
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 14:15:21.916985
FB Medizinische Lesehalle;57;43;2016-12-18 14:15:21.917009
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 14:15:21.917032
FB Theologie und Philosophie;36;64;2016-12-18 14:15:21.917059
FB Wirtschaftswissenschaften und Statistik;5;95;2016-12-18 14:15:21.917082
Allgemeiner Lesesaal (Zentralbibliothek);40;60;2016-12-18 14:30:26.197879
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 14:30:26.198010
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 14:30:26.198046
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 14:30:26.198075
FB Englischer Garten;11;89;2016-12-18 14:30:26.198099
FB Geowissenschaften;13;87;2016-12-18 14:30:26.198122
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 14:30:26.198145
FB Historicum;27;73;2016-12-18 14:30:26.198169
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 14:30:26.198191
FB Medizinische Lesehalle;57;43;2016-12-18 14:30:26.198214
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 14:30:26.198237
FB Theologie und Philosophie;36;64;2016-12-18 14:30:26.198263
FB Wirtschaftswissenschaften und Statistik;5;95;2016-12-18 14:30:26.198286
Allgemeiner Lesesaal (Zentralbibliothek);40;60;2016-12-18 14:45:23.751133
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 14:45:23.751236
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 14:45:23.751272
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 14:45:23.751302
FB Englischer Garten;11;89;2016-12-18 14:45:23.751328
FB Geowissenschaften;13;87;2016-12-18 14:45:23.751352
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 14:45:23.751375
FB Historicum;27;73;2016-12-18 14:45:23.751401
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 14:45:23.751423
FB Medizinische Lesehalle;57;43;2016-12-18 14:45:23.751448
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 14:45:23.751472
FB Theologie und Philosophie;36;64;2016-12-18 14:45:23.751499
FB Wirtschaftswissenschaften und Statistik;5;95;2016-12-18 14:45:23.751524
Allgemeiner Lesesaal (Zentralbibliothek);40;60;2016-12-18 15:00:29.636577
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 15:00:29.636622
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 15:00:29.636632
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 15:00:29.636639
FB Englischer Garten;11;89;2016-12-18 15:00:29.636645
FB Geowissenschaften;13;87;2016-12-18 15:00:29.636651
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 15:00:29.636657
FB Historicum;27;73;2016-12-18 15:00:29.636664
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 15:00:29.636670
FB Medizinische Lesehalle;67;33;2016-12-18 15:00:29.636676
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 15:00:29.636682
FB Theologie und Philosophie;36;64;2016-12-18 15:00:29.636689
FB Wirtschaftswissenschaften und Statistik;5;95;2016-12-18 15:00:29.636695
Allgemeiner Lesesaal (Zentralbibliothek);39;61;2016-12-18 15:15:23.780092
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 15:15:23.780153
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 15:15:23.780168
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 15:15:23.780181
FB Englischer Garten;11;89;2016-12-18 15:15:23.780192
FB Geowissenschaften;13;87;2016-12-18 15:15:23.780202
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 15:15:23.780212
FB Historicum;27;73;2016-12-18 15:15:23.780222
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 15:15:23.780232
FB Medizinische Lesehalle;67;33;2016-12-18 15:15:23.780242
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 15:15:23.780252
FB Theologie und Philosophie;39;61;2016-12-18 15:15:23.780264
FB Wirtschaftswissenschaften und Statistik;9;91;2016-12-18 15:15:23.780274
Allgemeiner Lesesaal (Zentralbibliothek);39;61;2016-12-18 15:30:27.697994
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 15:30:27.698108
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 15:30:27.698145
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 15:30:27.698175
FB Englischer Garten;15;85;2016-12-18 15:30:27.698200
FB Geowissenschaften;13;87;2016-12-18 15:30:27.698224
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 15:30:27.698247
FB Historicum;31;69;2016-12-18 15:30:27.698272
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 15:30:27.698294
FB Medizinische Lesehalle;64;36;2016-12-18 15:30:27.698318
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 15:30:27.698342
FB Theologie und Philosophie;39;61;2016-12-18 15:30:27.698368
FB Wirtschaftswissenschaften und Statistik;9;91;2016-12-18 15:30:27.698392
Allgemeiner Lesesaal (Zentralbibliothek);39;61;2016-12-18 15:45:21.977895
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 15:45:21.978124
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 15:45:21.978161
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 15:45:21.978190
FB Englischer Garten;8;92;2016-12-18 15:45:21.978209
FB Geowissenschaften;13;87;2016-12-18 15:45:21.978217
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 15:45:21.978224
FB Historicum;31;69;2016-12-18 15:45:21.978232
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 15:45:21.978239
FB Medizinische Lesehalle;64;36;2016-12-18 15:45:21.978247
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 15:45:21.978255
FB Theologie und Philosophie;39;61;2016-12-18 15:45:21.978263
FB Wirtschaftswissenschaften und Statistik;9;91;2016-12-18 15:45:21.978271
Allgemeiner Lesesaal (Zentralbibliothek);45;55;2016-12-18 16:00:29.782444
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 16:00:29.782507
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 16:00:29.782523
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 16:00:29.782536
FB Englischer Garten;8;92;2016-12-18 16:00:29.782547
FB Geowissenschaften;13;87;2016-12-18 16:00:29.782560
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 16:00:29.782571
FB Historicum;31;69;2016-12-18 16:00:29.782582
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 16:00:29.782591
FB Medizinische Lesehalle;64;36;2016-12-18 16:00:29.782602
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 16:00:29.782612
FB Theologie und Philosophie;39;61;2016-12-18 16:00:29.782624
FB Wirtschaftswissenschaften und Statistik;9;91;2016-12-18 16:00:29.782634
Allgemeiner Lesesaal (Zentralbibliothek);45;55;2016-12-18 16:15:22.111742
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 16:15:22.111790
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 16:15:22.111800
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 16:15:22.111807
FB Englischer Garten;8;92;2016-12-18 16:15:22.111813
FB Geowissenschaften;13;87;2016-12-18 16:15:22.111819
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 16:15:22.111825
FB Historicum;31;69;2016-12-18 16:15:22.111831
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 16:15:22.111837
FB Medizinische Lesehalle;64;36;2016-12-18 16:15:22.111843
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 16:15:22.111848
FB Theologie und Philosophie;39;61;2016-12-18 16:15:22.111855
FB Wirtschaftswissenschaften und Statistik;9;91;2016-12-18 16:15:22.111861
Allgemeiner Lesesaal (Zentralbibliothek);45;55;2016-12-18 16:30:28.429357
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 16:30:28.429463
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 16:30:28.429525
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 16:30:28.429555
FB Englischer Garten;8;92;2016-12-18 16:30:28.429585
FB Geowissenschaften;13;87;2016-12-18 16:30:28.429609
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 16:30:28.429631
FB Historicum;31;69;2016-12-18 16:30:28.429660
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 16:30:28.429683
FB Medizinische Lesehalle;64;36;2016-12-18 16:30:28.429706
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 16:30:28.429729
FB Theologie und Philosophie;39;61;2016-12-18 16:30:28.429759
FB Wirtschaftswissenschaften und Statistik;9;91;2016-12-18 16:30:28.429783
Allgemeiner Lesesaal (Zentralbibliothek);31;69;2016-12-18 16:45:25.974450
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 16:45:25.974497
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 16:45:25.974506
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 16:45:25.974513
FB Englischer Garten;7;93;2016-12-18 16:45:25.974520
FB Geowissenschaften;13;87;2016-12-18 16:45:25.974526
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 16:45:25.974532
FB Historicum;31;69;2016-12-18 16:45:25.974538
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 16:45:25.974544
FB Medizinische Lesehalle;64;36;2016-12-18 16:45:25.974550
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 16:45:25.974555
FB Theologie und Philosophie;39;61;2016-12-18 16:45:25.974562
FB Wirtschaftswissenschaften und Statistik;9;91;2016-12-18 16:45:25.974568
Allgemeiner Lesesaal (Zentralbibliothek);31;69;2016-12-18 17:00:29.694757
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 17:00:29.694871
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 17:00:29.694909
FB Chemie und Pharmazie;Geschlossen;0;2016-12-18 17:00:29.694939
FB Englischer Garten;7;93;2016-12-18 17:00:29.694965
FB Geowissenschaften;13;87;2016-12-18 17:00:29.694990
FB Germanistik und Komparatistik;Geschlossen;0;2016-12-18 17:00:29.695013
FB Historicum;31;69;2016-12-18 17:00:29.695038
FB Kunstwissenschaften;Geschlossen;0;2016-12-18 17:00:29.695061
FB Medizinische Lesehalle;64;36;2016-12-18 17:00:29.695085
FB Psychologie, Pädagogik und Soziologie;Geschlossen;0;2016-12-18 17:00:29.695109
FB Theologie und Philosophie;39;61;2016-12-18 17:00:29.695136
FB Wirtschaftswissenschaften und Statistik;9;91;2016-12-18 17:00:29.695159
Allgemeiner Lesesaal (Zentralbibliothek);31;69;2016-12-18 17:15:24.023641
FB Biologie und Biomedizin (Präsenzbestand);Geschlossen;0;2016-12-18 17:15:24.023709
FB Biologie und Biomedizin (Lehrbuchsammlung);Geschlossen;0;2016-12-18 17:15:24.023725
